,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
1763,70.1281,166.094,33.802,14.8235,34.3151,22.1033,0.365436,0.0678975,0.0412506,0.142791,2.99764,4.5536,0.534863
1764,46.2446,168.823,64.6261,47.3628,24.8026,14.9279,0.372595,0.579579,0.253169,0.0648395,4.58034,4.57905,0.492974
1765,86.6052,291.112,129.317,100.051,25.7092,12.0641,0.596272,0.36509,0.229357,0.33983,10.0003,10.2523,0.449524
1766,32.1686,149.268,42.8086,31.3757,52.5989,32.6926,0.130085,0.0141637,0.185054,0.206674,0.660501,1.23192,0.0226135
1767,3.46097,40.5249,8.0363,12.5451,18.9888,17.6674,0.031769,0.0074139,0.00216927,0.00403787,0.0079173,0.00124529,0.124374
1768,0.584594,9.70079,1.55986,3.71527,0.155343,0.465251,0.0156506,0.0771862,0.0170735,0.109398,0.0155531,0.0432949,0.0
1769,57.5268,213.955,40.7849,49.5911,28.2869,14.034,0.181676,0.131462,0.00293709,0.0592195,0.527211,0.414585,0.135681
1770,29.4871,129.661,72.2625,87.0987,15.1564,10.1494,0.0870742,0.056891,0.0189285,0.0305532,0.0864192,0.0558639,0.113068
1771,91.3741,314.021,113.159,115.305,59.3622,41.7597,0.668879,0.344208,0.469744,1.16454,0.559528,1.60134,0.28493
1772,6.20073,52.5396,16.8982,25.8056,15.7544,8.74862,0.0123805,0.00840767,0.0928712,0.222677,0.0912296,0.0162174,0.0113067
1773,29.696,108.153,24.69,37.5451,13.6501,9.25776,0.188819,0.022039,0.0212327,0.202034,0.419136,0.872037,0.189715
1774,114.048,212.813,87.4628,37.1498,92.221,67.6608,0.695129,0.389073,0.826222,1.07717,3.52041,4.40677,0.0339203
1775,40.695,180.619,86.5108,104.337,22.6494,13.2795,0.18921,0.0896822,0.0100499,0.391347,0.519383,1.03323,0.0339203
1776,8.52229,61.8762,8.25576,17.586,11.5188,9.35522,0.441326,0.0412271,0.0375354,0.270331,0.553836,1.10281,0.0226135
1777,24.0225,140.034,35.3909,59.6434,39.2102,28.035,0.199197,0.0370811,0.070876,0.105905,0.0794093,0.063144,0.0436118
1778,7.91428,61.6161,14.9392,36.9514,9.53888,7.24414,0.355511,0.104181,0.00481499,0.192321,0.185448,0.312925,0.0339203
1779,5.89177,37.011,19.7202,35.9561,4.15822,2.37044,0.211901,0.322737,0.0955814,0.153329,0.340703,0.332803,0.0209983
1780,12.6214,61.1307,15.6637,35.412,22.0031,18.5492,0.297572,0.265042,0.0749469,1.42481,0.279269,0.248869,0.0199531
1781,0.310569,10.1593,0.661235,5.89888,1.12892,0.242745,0.0259162,0.0345007,0.00833275,0.0104809,0.170947,0.0152949,0.0113067
1782,35.0533,114.282,30.2855,22.539,37.7263,17.299,0.119213,0.059133,0.096183,0.298521,0.518982,1.1464,0.06461
1783,18.0567,58.1284,4.94552,1.77844,14.8473,9.07187,0.0641532,0.156687,0.00186181,0.102794,0.300331,0.542549,0.0113067
1784,0.480744,9.93108,1.72752,1.33985,1.7324,0.173509,0.0979001,0.0190576,0.148343,0.0441597,0.258534,0.138204,0.0113067
1785,12.0088,70.2448,8.28725,12.6965,48.4214,22.9053,0.364189,0.109435,0.121734,0.384791,0.210483,0.373912,0.0549185
1786,3.58592,19.9203,8.40292,12.2711,5.5763,9.77717,0.184529,0.243712,0.0423931,0.116374,0.326159,0.164762,0.0226135
1787,0.378372,13.3768,2.77717,1.95588,8.35946,3.09078,0.0574245,0.0153257,0.00436046,0.0255103,0.176652,0.0445694,0.0
1788,6.8768,27.8607,3.2794,2.22428,6.29557,5.2032,0.0183546,0.0,0.0556542,0.0496414,0.113067,0.0374638,0.0
1789,2.29391,25.3847,1.23417,1.73672,5.06558,4.00424,0.0239068,0.248919,0.106445,0.456238,0.388,0.262142,0.101761
1790,12.7845,58.2251,25.0117,24.1933,50.784,15.021,0.210428,0.0155644,0.121166,0.180245,0.291808,0.21091,0.113068
1791,12.5416,75.912,22.9537,17.7487,13.2312,11.3123,0.944779,0.0685695,0.0294852,0.828616,1.22929,1.88558,0.24498
1792,2.60545,29.9053,5.81362,5.55539,5.45643,3.59329,0.0449976,0.063515,0.0144008,0.00660887,0.121169,0.165289,0.0
1793,1.00977,27.6025,6.2301,5.79324,12.9119,2.69312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794,11.0387,21.7555,7.55079,8.63085,18.3124,6.93452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,28.3932,99.0061,47.0908,37.6622,21.9978,12.7465,1.22291,0.787531,0.115398,1.31138,5.44275,8.68192,0.0
1796,6.01934,35.5687,12.1294,4.57397,6.87091,5.66975,0.121157,0.00689883,0.0804093,0.0673619,0.397911,0.715095,0.0113067
1797,3.252,23.0331,1.23429,3.12887,2.41977,0.547656,0.00639057,0.0198484,0.0357528,0.0483816,0.279416,0.317054,0.0
1798,48.9606,204.07,80.7138,99.0284,54.1766,39.1899,1.12252,0.297047,0.496698,1.33136,6.62085,8.48044,0.0549185
1799,18.0147,70.6311,16.2513,23.4008,40.3741,21.006,0.13362,0.0406056,0.0182379,0.0694694,0.235051,0.0281142,0.0
1800,6.01298,33.5109,13.9489,16.5668,4.47658,5.1507,0.00456795,0.0162401,0.0240119,0.0157498,0.0130255,0.0935309,0.0226135
1801,0.0714841,0.81519,0.409051,1.34575,0.00628931,0.399283,0.0357856,0.00131109,0.0,0.00908231,0.0553504,0.155627,0.0
1802,0.421765,12.2756,7.62718,18.0125,2.48,2.30115,0.00511373,0.032213,0.0389547,0.0233515,0.174957,0.199707,0.0113067
1803,11.3783,62.3527,21.5282,30.0702,20.3814,13.3654,0.121998,0.039814,0.0994793,0.0180001,0.052131,0.277597,0.0209983
1804,37.8503,157.94,86.1795,109.046,7.72815,3.03887,0.0804806,0.00196663,0.00718499,0.366276,1.28875,1.28643,0.109837
1805,13.5985,92.128,33.3954,79.4212,6.62582,0.945833,0.192267,0.025418,0.267657,0.16042,0.882628,2.29764,0.0113067
1806,1.75223,11.9549,23.8489,23.0034,5.49489,1.1479,0.00930216,0.0120404,0.0130156,0.0665727,0.135154,0.207261,0.0226135
1807,0.68093,17.4846,1.85093,5.0783,1.64007,0.43269,0.0736476,0.0199782,0.0650078,0.131773,0.18319,0.413975,0.0113067
1808,0.495475,3.44913,0.178255,1.5391,0.176451,0.253269,0.0345441,0.000985782,0.0,0.0,0.0548256,0.0312317,0.0
1809,25.9085,127.966,41.0905,72.1211,16.5942,15.3716,0.168018,0.0229995,0.00635684,0.181679,0.201355,0.873052,0.0113067
1810,0.0407721,1.42943,0.0810224,1.57581,0.409989,0.0481129,0.0509666,0.000910479,0.00264589,0.0384258,0.0398292,0.127445,0.0
1811,2.03411,9.22972,0.524266,7.59374,1.43617,1.06714,0.0510786,0.0141323,0.0218243,0.0199904,0.115394,0.124575,0.0
1812,4.34043,43.1896,7.68548,10.9204,15.5558,6.52432,0.154323,0.045961,0.0157846,0.0421715,0.268802,0.407216,0.0226135
1813,14.9549,85.7175,20.5224,41.2148,16.8886,5.01515,0.320595,0.4513,0.31303,0.0876477,0.726285,1.39406,0.162817
1814,0.243984,20.4462,3.17893,12.5226,1.70354,1.14981,0.0574778,0.0195992,0.00216927,0.0252123,0.355356,0.201102,0.0226135
1815,1.62686,14.9675,0.866382,6.92139,18.6353,8.81335,0.0798877,0.0171898,0.125254,0.0850838,0.268219,0.364007,0.339202
1816,0.752821,1.4903,0.0975005,0.834343,0.246145,0.742517,0.009779,0.0797892,0.0164704,0.0082168,0.061865,0.0922062,0.0
1817,3.62344,16.5893,3.2885,5.34854,3.20436,1.16015,0.0635434,0.00262218,0.00216927,0.394926,0.489313,0.193915,0.0113067
1818,0.694218,22.5579,7.43443,11.4732,2.44296,1.81977,0.212759,0.0516249,0.0392879,0.0210274,0.0891756,0.0823383,0.0
1819,2.51468,37.3159,6.00575,25.0844,12.581,4.88108,0.177924,0.169099,0.301759,0.334028,0.373326,0.464016,0.0
1820,0.383921,13.3492,1.00722,8.706,1.3199,0.813525,0.11526,0.0522345,0.0109876,0.248751,0.0343955,0.0746595,0.0096915
1821,3.23604,23.949,4.20309,9.98399,7.10875,3.25066,0.0644922,0.0218701,0.0323903,0.236603,0.211518,0.462623,0.0113067
1822,0.292318,7.39382,0.988929,4.8059,0.688008,0.39452,0.0138167,0.000655545,0.00144618,0.027787,0.161632,0.466428,0.0226135
1823,0.109024,3.5974,0.576794,4.12048,0.470466,1.04656,0.0260511,0.00946792,0.00072309,0.171719,0.273962,0.3761,0.0
1824,0.145164,14.5915,2.29064,5.06273,4.74473,1.53953,0.0218069,0.0327184,0.0285336,0.0414292,0.975403,0.876731,0.122759
1825,23.8507,127.173,60.932,80.6033,17.7426,8.45516,0.317373,0.0287133,0.052733,0.190159,3.66308,6.13812,0.0436118
1826,0.947524,24.827,1.62071,3.03931,1.85845,2.04537,0.0458108,0.0520066,0.0167918,0.13509,0.941893,0.628211,0.0
1827,0.070991,4.14856,0.0821716,1.94417,0.297232,0.104684,0.0530828,0.0213218,0.0691785,0.0545719,0.0616907,0.0589307,0.0
1828,12.0318,55.4291,7.14381,13.9592,9.41277,5.42082,0.154736,0.00633122,0.144879,0.411543,0.209499,0.271597,0.0
1829,0.776586,13.4823,1.24973,1.80523,9.10696,5.75548,0.009047,0.0858036,0.0349772,0.0926136,0.335409,0.123219,0.0226135
1830,0.436098,10.0274,2.06099,1.54589,0.849937,0.767369,0.0883683,0.0307018,0.00216927,0.0400088,0.155317,0.283426,0.0226135
1831,33.6203,118.024,46.5465,54.619,12.6786,8.64832,0.3231,0.00960316,0.0828924,0.254277,0.911183,1.15816,0.262317
1832,0.428861,8.93077,0.720659,5.25628,0.417197,0.95359,0.036377,0.00386677,0.047115,0.0118592,0.0305344,0.0767829,0.032305
1833,57.5289,221.658,76.2769,70.0911,48.2474,34.8097,0.473189,0.539751,0.0979099,0.487147,2.14956,2.80793,0.30819
1834,0.901325,16.61,1.5134,6.10704,5.91423,2.57946,0.0853403,0.00281799,0.0472377,0.00187091,0.0616655,0.0306542,0.180908
1835,17.0993,80.5163,16.5982,36.4757,57.1658,50.5335,0.040624,0.150242,0.271285,0.0639863,0.0049033,0.000653565,0.0226135
1836,5.30428,61.4282,12.0342,23.9675,14.204,14.5252,0.123506,0.0378239,0.0152892,0.0351031,0.0137085,0.0157671,0.0209983
1837,120.489,464.193,146.986,186.471,53.6106,42.5553,1.44157,0.604478,0.532209,0.839032,3.84959,7.55675,0.460185
1838,0.487324,3.59433,1.53369,0.137218,0.0930036,0.446088,0.0,0.0,0.0,0.0,0.00273232,0.0,0.0
1839,19.2297,100.067,34.1339,48.9734,38.5119,18.7136,0.633144,0.168555,0.20391,1.13372,1.45141,3.09611,0.0848006
